Q,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å⁻¹,arbitrary units,arbitrary units,arbitrary units,arbitrary units
Structure Factor S(Q),Si-Si,Total,Si-Si_smoothed,Total_smoothed
6.21000,0.00000,0.00000,0.36348,0.36348
6.23000,0.00000,0.00000,0.24474,0.24474
6.25000,0.00000,0.00000,0.16549,0.16549
6.27000,0.00000,0.00000,0.12001,0.12001
6.29000,0.00000,0.00000,0.10364,0.10364
6.31000,0.00000,0.00000,0.11358,0.11358
6.33000,0.00000,0.00000,0.14911,0.14911
6.35000,0.00000,0.00000,0.21102,0.21102
6.37000,0.00000,0.00000,0.30066,0.30066
6.39000,0.00000,0.00000,0.41863,0.41863
6.41000,0.00000,0.00000,0.56337,0.56337
6.43000,0.00000,0.00000,0.72949,0.72949
6.45000,0.00000,0.00000,0.90997,0.90997
6.47000,0.00000,0.00000,1.09038,1.09038
6.49000,0.00000,0.00000,1.25622,1.25622
6.51000,0.00000,0.00000,1.39234,1.39234
6.53000,0.00000,0.00000,1.48619,1.48619
6.55000,18.78261,18.78261,1.53061,1.53061
6.57000,0.00000,0.00000,1.52601,1.52601
6.59000,0.00000,0.00000,1.48127,1.48127
6.61000,0.00000,0.00000,1.41306,1.41306
6.63000,0.00000,0.00000,1.34370,1.34370
6.65000,0.00000,0.00000,1.29776,1.29776
6.67000,0.00000,0.00000,1.29796,1.29796
6.69000,0.00000,0.00000,1.36114,1.36114
6.71000,0.00000,0.00000,1.49477,1.49477
6.73000,0.00000,0.00000,1.69479,1.69479
6.75000,0.00000,0.00000,1.94509,1.94509
6.77000,0.00000,0.00000,2.21913,2.21913
6.79000,0.00000,0.00000,2.48344,2.48344
6.81000,0.00000,0.00000,2.70268,2.70268
6.83000,0.00000,0.00000,2.84536,2.84536
6.85000,36.00000,36.00000,2.88915,2.88915
6.87000,0.00000,0.00000,2.82458,2.82458
6.89000,0.00000,0.00000,2.65628,2.65628
6.91000,0.00000,0.00000,2.40277,2.40277
6.93000,0.00000,0.00000,2.08948,2.08948
6.95000,0.00000,0.00000,1.74805,1.74805
6.97000,0.00000,0.00000,1.40884,1.40884
6.99000,0.00000,0.00000,1.09868,1.09868
7.01000,0.00000,0.00000,0.83695,0.83695
7.03000,0.00000,0.00000,0.63686,0.63686
7.05000,0.00000,0.00000,0.50611,0.50611
7.07000,0.00000,0.00000,0.44892,0.44892
7.09000,0.00000,0.00000,0.46776,0.46776
7.11000,0.00000,0.00000,0.56430,0.56430
7.13000,0.00000,0.00000,0.73915,0.73915
7.15000,0.00000,0.00000,0.99031,0.99031
7.17000,0.00000,0.00000,1.31086,1.31086
7.19000,0.00000,0.00000,1.68712,1.68712
7.21000,0.00000,0.00000,2.09602,2.09602
7.23000,0.00000,0.00000,2.50703,2.50703
7.25000,0.00000,0.00000,2.88394,2.88394
7.27000,0.00000,0.00000,3.18934,3.18934
7.29000,0.00000,0.00000,3.39242,3.39242
7.31000,43.20000,43.20000,3.47143,3.47143
7.33000,0.00000,0.00000,3.42066,3.42066
7.35000,0.00000,0.00000,3.25109,3.25109
7.37000,0.00000,0.00000,2.98864,2.98864
7.39000,0.00000,0.00000,2.66964,2.66964
7.41000,0.00000,0.00000,2.33434,2.33434
7.43000,0.00000,0.00000,2.02012,2.02012
7.45000,0.00000,0.00000,1.75573,1.75573
7.47000,0.00000,0.00000,1.55762,1.55762
7.49000,0.00000,0.00000,1.42884,1.42884
7.51000,0.00000,0.00000,1.36044,1.36044
7.53000,0.00000,0.00000,1.33479,1.33479
7.55000,0.00000,0.00000,1.32992,1.32992
7.57000,0.00000,0.00000,1.32406,1.32406
7.59000,15.42857,15.42857,1.29946,1.29946
7.61000,0.00000,0.00000,1.24643,1.24643
7.63000,0.00000,0.00000,1.16017,1.16017
7.65000,0.00000,0.00000,1.04553,1.04553
7.67000,0.00000,0.00000,0.91254,0.91254
7.69000,0.00000,0.00000,0.77495,0.77495
7.71000,0.00000,0.00000,0.64825,0.64825
7.73000,0.00000,0.00000,0.54753,0.54753
7.75000,0.00000,0.00000,0.48899,0.48899
7.77000,0.00000,0.00000,0.48550,0.48550
7.79000,0.00000,0.00000,0.54975,0.54975
7.81000,0.00000,0.00000,0.69259,0.69259
7.83000,0.00000,0.00000,0.92180,0.92180
7.85000,0.00000,0.00000,1.23991,1.23991
7.87000,0.00000,0.00000,1.64213,1.64213
7.89000,0.00000,0.00000,2.11223,2.11223
7.91000,0.00000,0.00000,2.62339,2.62339
7.93000,0.00000,0.00000,3.13792,3.13792
7.95000,0.00000,0.00000,3.61116,3.61116
7.97000,0.00000,0.00000,3.99752,3.99752
7.99000,0.00000,0.00000,4.25804,4.25804
8.01000,54.00000,54.00000,4.36743,4.36743
8.03000,0.00000,0.00000,4.32018,4.32018
8.05000,0.00000,0.00000,4.13073,4.13073
8.07000,0.00000,0.00000,3.83222,3.83222
8.09000,0.00000,0.00000,3.46987,3.46987
8.11000,0.00000,0.00000,3.09259,3.09259
8.13000,0.00000,0.00000,2.74414,2.74414
8.15000,0.00000,0.00000,2.45604,2.45604
8.17000,0.00000,0.00000,2.24335,2.24335
8.19000,0.00000,0.00000,2.10421,2.10421
8.21000,0.00000,0.00000,2.02271,2.02271
8.23000,0.00000,0.00000,1.97413,1.97413
8.25000,0.00000,0.00000,1.93213,1.93213
8.27000,21.60000,21.60000,1.87214,1.87214
8.29000,0.00000,0.00000,1.77893,1.77893
8.31000,0.00000,0.00000,1.64705,1.64705
8.33000,0.00000,0.00000,1.48118,1.48118
8.35000,0.00000,0.00000,1.29428,1.29428
8.37000,0.00000,0.00000,1.10457,1.10457
8.39000,0.00000,0.00000,0.93235,0.93235
8.41000,0.00000,0.00000,0.79714,0.79714
8.43000,0.00000,0.00000,0.71498,0.71498
8.45000,0.00000,0.00000,0.69993,0.69993
8.47000,0.00000,0.00000,0.75799,0.75799
8.49000,0.00000,0.00000,0.89127,0.89127
8.51000,0.00000,0.00000,1.09362,1.09362
8.53000,0.00000,0.00000,1.35293,1.35293
