r,Si-Si,Total,Si-Si_smoothed,Total_smoothed
Å,Å⁻¹,Å⁻¹,Å⁻¹,Å⁻¹
Reduced Pair Distribution Function,Si-Si,Total,Si-Si_smoothed,Total_smoothed
13.91000,-8.73091,-8.73091,12.43281,12.43281
13.93000,-8.74346,-8.74346,11.29270,11.29270
13.95000,-8.75602,-8.75602,10.02368,10.02368
13.97000,-8.76857,-8.76857,8.74970,8.74970
13.99000,-8.78112,-8.78112,7.54134,7.54134
14.01000,-8.79368,-8.79368,6.40932,6.40932
14.03000,-8.80623,-8.80623,5.31820,5.31820
14.05000,119.29509,119.29509,4.21050,4.21050
14.07000,-8.83134,-8.83134,3.03290,3.03290
14.09000,-8.84389,-8.84389,1.75683,1.75683
14.11000,-8.85644,-8.85644,0.38818,0.38818
14.13000,-8.86900,-8.86900,-1.03449,-1.03449
14.15000,-8.88155,-8.88155,-2.44873,-2.44873
14.17000,-8.89411,-8.89411,-3.78956,-3.78956
14.19000,-8.90666,-8.90666,-4.99592,-4.99592
14.21000,-8.91921,-8.91921,-6.02486,-6.02486
14.23000,-8.93177,-8.93177,-6.85426,-6.85426
14.25000,-8.94432,-8.94432,-7.48080,-7.48080
14.27000,-8.95687,-8.95687,-7.91731,-7.91731
14.29000,-8.96943,-8.96943,-8.17153,-8.17153
14.31000,-8.98198,-8.98198,-8.26452,-8.26452
14.33000,-8.99453,-8.99453,-8.20654,-8.20654
14.35000,-9.00709,-9.00709,-8.00292,-8.00292
14.37000,-9.01964,-9.01964,-7.65623,-7.65623
14.39000,-9.03219,-9.03219,-7.17092,-7.17092
14.41000,-9.04475,-9.04475,-6.55924,-6.55924
14.43000,-9.05730,-9.05730,-5.84662,-5.84662
14.45000,-9.06985,-9.06985,-5.07499,-5.07499
14.47000,-9.08241,-9.08241,-4.29948,-4.29948
14.49000,-9.09496,-9.09496,-3.58883,-3.58883
14.51000,-9.10751,-9.10751,-3.01296,-3.01296
14.53000,-9.12007,-9.12007,-2.62984,-2.62984
14.55000,73.34161,73.34161,-2.47490,-2.47490
14.57000,-9.14517,-9.14517,-2.55166,-2.55166
14.59000,-9.15773,-9.15773,-2.82741,-2.82741
14.61000,-9.17028,-9.17028,-3.23510,-3.23510
14.63000,-9.18283,-9.18283,-3.68131,-3.68131
14.65000,-9.19539,-9.19539,-4.05667,-4.05667
14.67000,-9.20794,-9.20794,-4.25720,-4.25720
14.69000,-9.22049,-9.22049,-4.19231,-4.19231
14.71000,-9.23305,-9.23305,-3.80306,-3.80306
14.73000,-9.24560,-9.24560,-3.07190,-3.07190
14.75000,-9.25815,-9.25815,-2.02834,-2.02834
14.77000,-9.27071,-9.27071,-0.74824,-0.74824
14.79000,-9.28326,-9.28326,0.65431,0.65431
14.81000,-9.29582,-9.29582,2.04222,2.04222
14.83000,-9.30837,-9.30837,3.27608,3.27608
14.85000,-9.32092,-9.32092,4.23647,4.23647
14.87000,152.06531,152.06531,4.84318,4.84318
14.89000,-9.34603,-9.34603,5.06648,5.06648
14.91000,-9.35858,-9.35858,4.92744,4.92744
14.93000,-9.37114,-9.37114,4.48730,4.48730
14.95000,-9.38369,-9.38369,3.82889,3.82889
14.97000,-9.39624,-9.39624,3.03572,3.03572
14.99000,-9.40880,-9.40880,2.17611,2.17611
15.01000,-9.42135,-9.42135,1.28977,1.28977
15.03000,-9.43390,-9.43390,0.39251,0.39251
15.05000,70.28776,70.28776,-0.51712,-0.51712
15.07000,-9.45901,-9.45901,-1.44537,-1.44537
15.09000,-9.47156,-9.47156,-2.39162,-2.39162
15.11000,-9.48412,-9.48412,-3.34105,-3.34105
15.13000,-9.49667,-9.49667,-4.25832,-4.25832
15.15000,-9.50922,-9.50922,-5.10662,-5.10662
15.17000,-9.52178,-9.52178,-5.83674,-5.83674
15.19000,-9.53433,-9.53433,-6.40556,-6.40556
15.21000,-9.54688,-9.54688,-6.78005,-6.78005
15.23000,-9.55944,-9.55944,-6.94037,-6.94037
15.25000,-9.57199,-9.57199,-6.87957,-6.87957
15.27000,-9.58454,-9.58454,-6.60045,-6.60045
15.29000,-9.59710,-9.59710,-6.11288,-6.11288
15.31000,-9.60965,-9.60965,-5.42070,-5.42070
15.33000,-9.62220,-9.62220,-4.53460,-4.53460
15.35000,-9.63476,-9.63476,-3.46057,-3.46057
15.37000,29.38977,29.38977,-2.20887,-2.20887
15.39000,-9.65986,-9.65986,-0.80212,-0.80212
15.41000,-9.67242,-9.67242,0.71535,0.71535
15.43000,-9.68497,-9.68497,2.27436,2.27436
15.45000,-9.69752,-9.69752,3.76795,3.76795
15.47000,-9.71008,-9.71008,5.07233,5.07233
15.49000,-9.72263,-9.72263,6.05954,6.05954
15.51000,-9.73519,-9.73519,6.61464,6.61464
