Q,Bi-Bi,Total
10.59000,1.01246,1.01246
10.61000,1.01155,1.01155
10.63000,1.01057,1.01057
10.65000,1.00949,1.00949
10.67000,1.00833,1.00833
10.69000,1.00706,1.00706
10.71000,1.00571,1.00571
10.73000,1.00426,1.00426
10.75000,1.00274,1.00274
10.77000,1.00114,1.00114
10.79000,0.99948,0.99948
10.81000,0.99779,0.99779
10.83000,0.99606,0.99606
10.85000,0.99433,0.99433
10.87000,0.99262,0.99262
10.89000,0.99095,0.99095
10.91000,0.98933,0.98933
10.93000,0.98779,0.98779
10.95000,0.98635,0.98635
10.97000,0.98502,0.98502
10.99000,0.98383,0.98383
11.01000,0.98279,0.98279
11.03000,0.98191,0.98191
11.05000,0.98121,0.98121
11.07000,0.98068,0.98068
11.09000,0.98033,0.98033
11.11000,0.98017,0.98017
11.13000,0.98019,0.98019
11.15000,0.98039,0.98039
11.17000,0.98075,0.98075
11.19000,0.98128,0.98128
11.21000,0.98195,0.98195
11.23000,0.98276,0.98276
11.25000,0.98368,0.98368
11.27000,0.98470,0.98470
11.29000,0.98581,0.98581
11.31000,0.98698,0.98698
11.33000,0.98820,0.98820
11.35000,0.98945,0.98945
11.37000,0.99071,0.99071
11.39000,0.99196,0.99196
11.41000,0.99319,0.99319
11.43000,0.99438,0.99438
11.45000,0.99553,0.99553
11.47000,0.99660,0.99660
11.49000,0.99761,0.99761
11.51000,0.99854,0.99854
11.53000,0.99938,0.99938
11.55000,1.00013,1.00013
11.57000,1.00078,1.00078
11.59000,1.00133,1.00133
11.61000,1.00179,1.00179
11.63000,1.00216,1.00216
11.65000,1.00243,1.00243
11.67000,1.00262,1.00262
11.69000,1.00273,1.00273
11.71000,1.00276,1.00276
11.73000,1.00273,1.00273
11.75000,1.00264,1.00264
11.77000,1.00249,1.00249
11.79000,1.00231,1.00231
11.81000,1.00210,1.00210
11.83000,1.00186,1.00186
11.85000,1.00161,1.00161
11.87000,1.00135,1.00135
11.89000,1.00110,1.00110
11.91000,1.00086,1.00086
11.93000,1.00063,1.00063
11.95000,1.00044,1.00044
11.97000,1.00027,1.00027
11.99000,1.00014,1.00014
12.01000,1.00006,1.00006
12.03000,1.00001,1.00001
12.05000,1.00001,1.00001
12.07000,1.00006,1.00006
12.09000,1.00016,1.00016
12.11000,1.00030,1.00030
12.13000,1.00048,1.00048
12.15000,1.00071,1.00071
12.17000,1.00097,1.00097
12.19000,1.00126,1.00126
12.21000,1.00158,1.00158
12.23000,1.00192,1.00192
12.25000,1.00227,1.00227
12.27000,1.00263,1.00263
12.29000,1.00299,1.00299
12.31000,1.00333,1.00333
12.33000,1.00366,1.00366
12.35000,1.00397,1.00397
12.37000,1.00425,1.00425
12.39000,1.00449,1.00449
12.41000,1.00468,1.00468
12.43000,1.00484,1.00484
12.45000,1.00494,1.00494
12.47000,1.00499,1.00499
12.49000,1.00499,1.00499
12.51000,1.00493,1.00493
12.53000,1.00483,1.00483
12.55000,1.00467,1.00467
12.57000,1.00447,1.00447
12.59000,1.00424,1.00424
12.61000,1.00397,1.00397
12.63000,1.00367,1.00367
12.65000,1.00336,1.00336
12.67000,1.00304,1.00304
12.69000,1.00273,1.00273
12.71000,1.00243,1.00243
12.73000,1.00214,1.00214
12.75000,1.00190,1.00190
12.77000,1.00169,1.00169
12.79000,1.00153,1.00153
12.81000,1.00143,1.00143
12.83000,1.00139,1.00139
12.85000,1.00142,1.00142
12.87000,1.00151,1.00151
12.89000,1.00169,1.00169
12.91000,1.00193,1.00193
12.93000,1.00224,1.00224
12.95000,1.00261,1.00261
12.97000,1.00304,1.00304
12.99000,1.00352,1.00352
13.01000,1.00403,1.00403
13.03000,1.00457,1.00457
13.05000,1.00512,1.00512
13.07000,1.00567,1.00567
13.09000,1.00619,1.00619
13.11000,1.00668,1.00668
13.13000,1.00711,1.00711
13.15000,1.00747,1.00747
13.17000,1.00773,1.00773
13.19000,1.00790,1.00790
13.21000,1.00794,1.00794
13.23000,1.00785,1.00785
13.25000,1.00762,1.00762
13.27000,1.00723,1.00723
13.29000,1.00669,1.00669
13.31000,1.00599,1.00599
13.33000,1.00513,1.00513
13.35000,1.00412,1.00412
13.37000,1.00296,1.00296
13.39000,1.00166,1.00166
13.41000,1.00024,1.00024
13.43000,0.99872,0.99872
13.45000,0.99711,0.99711
13.47000,0.99544,0.99544
13.49000,0.99373,0.99373
13.51000,0.99201,0.99201
13.53000,0.99031,0.99031
13.55000,0.98865,0.98865
13.57000,0.98708,0.98708
13.59000,0.98560,0.98560
13.61000,0.98426,0.98426
13.63000,0.98308,0.98308
13.65000,0.98207,0.98207
13.67000,0.98127,0.98127
13.69000,0.98070,0.98070
13.71000,0.98035,0.98035
13.73000,0.98025,0.98025
13.75000,0.98040,0.98040
13.77000,0.98081,0.98081
13.79000,0.98146,0.98146
13.81000,0.98235,0.98235
13.83000,0.98347,0.98347
13.85000,0.98480,0.98480
13.87000,0.98633,0.98633
13.89000,0.98801,0.98801
13.91000,0.98984,0.98984
13.93000,0.99178,0.99178
13.95000,0.99379,0.99379
13.97000,0.99585,0.99585
13.99000,0.99791,0.99791
14.01000,0.99995,0.99995
14.03000,1.00193,1.00193
14.05000,1.00382,1.00382
14.07000,1.00560,1.00560
14.09000,1.00722,1.00722
14.11000,1.00868,1.00868
14.13000,1.00994,1.00994
14.15000,1.01101,1.01101
14.17000,1.01185,1.01185
14.19000,1.01248,1.01248
14.21000,1.01288,1.01288
14.23000,1.01306,1.01306
14.25000,1.01303,1.01303
14.27000,1.01280,1.01280
14.29000,1.01238,1.01238
14.31000,1.01179,1.01179
14.33000,1.01106,1.01106
14.35000,1.01020,1.01020
14.37000,1.00925,1.00925
14.39000,1.00823,1.00823
14.41000,1.00717,1.00717
14.43000,1.00609,1.00609
14.45000,1.00502,1.00502
14.47000,1.00398,1.00398
14.49000,1.00300,1.00300
14.51000,1.00208,1.00208
14.53000,1.00126,1.00126
14.55000,1.00054,1.00054
14.57000,0.99993,0.99993
14.59000,0.99943,0.99943
14.61000,0.99906,0.99906
14.63000,0.99880,0.99880
14.65000,0.99865,0.99865
14.67000,0.99860,0.99860
14.69000,0.99865,0.99865
14.71000,0.99878,0.99878
14.73000,0.99897,0.99897
14.75000,0.99922,0.99922
14.77000,0.99951,0.99951
14.79000,0.99981,0.99981
14.81000,1.00013,1.00013
14.83000,1.00044,1.00044
14.85000,1.00072,1.00072
14.87000,1.00098,1.00098
14.89000,1.00120,1.00120
14.91000,1.00138,1.00138
14.93000,1.00151,1.00151
14.95000,1.00160,1.00160
