r,Bi-Bi,Total
8.55000,26.85185,26.85185
8.57000,31.01852,31.01852
8.59000,29.16667,29.16667
8.61000,16.66667,16.66667
8.63000,18.05556,18.05556
8.65000,25.00000,25.00000
8.67000,34.72222,34.72222
8.69000,20.83333,20.83333
8.71000,28.24074,28.24074
8.73000,25.92593,25.92593
8.75000,26.85185,26.85185
8.77000,22.22222,22.22222
8.79000,20.83333,20.83333
8.81000,25.00000,25.00000
8.83000,31.94445,31.94445
8.85000,22.68519,22.68519
8.87000,26.38889,26.38889
8.89000,33.79630,33.79630
8.91000,31.94445,31.94445
8.93000,29.62963,29.62963
8.95000,28.70370,28.70370
8.97000,24.53704,24.53704
8.99000,30.55556,30.55556
9.01000,34.72222,34.72222
9.03000,25.00000,25.00000
9.05000,34.72222,34.72222
9.07000,28.24074,28.24074
9.09000,35.18519,35.18519
9.11000,31.48148,31.48148
9.13000,31.94445,31.94445
9.15000,30.55556,30.55556
9.17000,32.87037,32.87037
9.19000,28.70370,28.70370
9.21000,33.33333,33.33333
9.23000,31.01852,31.01852
9.25000,28.24074,28.24074
9.27000,35.64815,35.64815
9.29000,33.79630,33.79630
9.31000,30.55556,30.55556
9.33000,35.64815,35.64815
9.35000,31.48148,31.48148
9.37000,33.79630,33.79630
9.39000,32.40741,32.40741
9.41000,28.70370,28.70370
9.43000,38.88889,38.88889
9.45000,39.81482,39.81482
9.47000,34.25926,34.25926
9.49000,32.40741,32.40741
9.51000,32.40741,32.40741
9.53000,33.33333,33.33333
9.55000,25.46296,25.46296
9.57000,36.57407,36.57407
9.59000,33.33333,33.33333
9.61000,32.87037,32.87037
9.63000,33.79630,33.79630
9.65000,46.29630,46.29630
9.67000,31.94445,31.94445
9.69000,38.88889,38.88889
9.71000,37.96296,37.96296
9.73000,35.64815,35.64815
9.75000,34.25926,34.25926
9.77000,34.72222,34.72222
9.79000,40.74074,40.74074
9.81000,30.09259,30.09259
9.83000,38.88889,38.88889
9.85000,35.64815,35.64815
9.87000,36.11111,36.11111
9.89000,37.03704,37.03704
9.91000,37.50000,37.50000
9.93000,40.27778,40.27778
9.95000,31.48148,31.48148
9.97000,34.25926,34.25926
9.99000,43.05556,43.05556
10.01000,35.18519,35.18519
10.03000,35.18519,35.18519
10.05000,43.51852,43.51852
