r,Bi-Bi,Total
10.37000,-0.68566,-0.68566
10.39000,-0.34239,-0.34239
10.41000,-0.40072,-0.40072
10.43000,0.11819,0.11819
10.45000,-0.07376,-0.07376
10.47000,-0.08813,-0.08813
10.49000,0.86846,0.86846
10.51000,-0.02870,-0.02870
10.53000,0.74823,0.74823
10.55000,-0.32088,-0.32088
10.57000,0.19081,0.19081
10.59000,0.21965,0.21965
10.61000,-0.05708,-0.05708
10.63000,0.71245,0.71245
10.65000,-0.34669,-0.34669
10.67000,0.16011,0.16011
10.69000,0.05868,0.05868
10.71000,-0.12885,-0.12885
10.73000,0.02947,0.02947
10.75000,0.31636,0.31636
10.77000,0.04334,0.04334
10.79000,0.80107,0.80107
10.81000,0.39963,0.39963
10.83000,-0.17135,-0.17135
10.85000,-0.01487,-0.01487
10.87000,-0.28490,-0.28490
10.89000,0.38131,0.38131
10.91000,0.02662,0.02662
10.93000,-0.62330,-0.62330
10.95000,0.20892,0.20892
10.97000,0.70046,0.70046
10.99000,-0.19997,-0.19997
11.01000,-0.29822,-0.29822
11.03000,-0.85785,-0.85785
11.05000,-0.74512,-0.74512
11.07000,-0.13096,-0.13096
11.09000,0.10523,0.10523
11.11000,0.09053,0.09053
11.13000,0.32543,0.32543
11.15000,0.18577,0.18577
11.17000,-0.94815,-0.94815
11.19000,-0.00939,-0.00939
11.21000,-0.27168,-0.27168
11.23000,-0.61552,-0.61552
11.25000,0.02950,0.02950
11.27000,-0.02615,-0.02615
11.29000,-0.20464,-0.20464
11.31000,-0.38253,-0.38253
11.33000,-0.19206,-0.19206
11.35000,-0.36939,-0.36939
11.37000,-0.09823,-0.09823
11.39000,-0.76292,-0.76292
11.41000,0.48174,0.48174
11.43000,0.87142,0.87142
11.45000,-0.11502,-0.11502
11.47000,-0.49260,-0.49260
11.49000,-0.14362,-0.14362
11.51000,0.04323,0.04323
11.53000,-0.65396,-0.65396
11.55000,-0.26651,-0.26651
11.57000,0.07957,0.07957
11.59000,-0.09487,-0.09487
11.61000,0.32942,0.32942
11.63000,-0.16335,-0.16335
11.65000,0.53772,0.53772
11.67000,0.00656,0.00656
11.69000,0.07124,0.07124
11.71000,-0.45736,-0.45736
11.73000,0.08146,0.08146
11.75000,-0.05140,-0.05140
11.77000,0.13085,0.13085
11.79000,0.39098,0.39098
11.81000,-0.68262,-0.68262
11.83000,0.55633,0.55633
11.85000,-0.35770,-0.35770
11.87000,-0.33261,-0.33261
11.89000,-0.61913,-0.61913
11.91000,0.10596,0.10596
11.93000,0.51814,0.51814
11.95000,0.07660,0.07660
11.97000,-0.32481,-0.32481
11.99000,-0.49323,-0.49323
12.01000,-0.12145,-0.12145
12.03000,-0.32818,-0.32818
12.05000,0.11889,0.11889
12.07000,-0.50952,-0.50952
12.09000,0.05120,0.05120
12.11000,-0.65154,-0.65154
12.13000,-0.35964,-0.35964
12.15000,0.35041,0.35041
12.17000,0.14511,0.14511
12.19000,0.09238,0.09238
12.21000,0.38105,0.38105
12.23000,-0.08835,-0.08835
12.25000,0.19962,0.19962
12.27000,0.48663,0.48663
12.29000,0.13230,0.13230
12.31000,-0.07048,-0.07048
12.33000,0.25305,0.25305
12.35000,-0.73653,-0.73653
12.37000,-0.26331,-0.26331
12.39000,0.50728,0.50728
12.41000,-0.36608,-0.36608
12.43000,-0.34276,-0.34276
12.45000,-0.65422,-0.65422
12.47000,-0.37067,-0.37067
12.49000,-0.23633,-0.23633
12.51000,0.52669,0.52669
12.53000,0.51134,0.51134
12.55000,0.20089,0.20089
12.57000,0.22288,0.22288
12.59000,-0.34357,-0.34357
12.61000,-0.21068,-0.21068
12.63000,0.17835,0.17835
12.65000,0.41974,0.41974
12.67000,0.29494,0.29494
12.69000,-0.01190,-0.01190
12.71000,0.08288,0.08288
12.73000,-0.40455,-0.40455
12.75000,0.63458,0.63458
12.77000,0.87285,0.87285
12.79000,-0.88050,-0.88050
12.81000,0.51585,0.51585
12.83000,0.32011,0.32011
12.85000,-0.55959,-0.55959
12.87000,0.29010,0.29010
12.89000,-0.15586,-0.15586
12.91000,0.79811,0.79811
12.93000,-0.36342,-0.36342
12.95000,0.08738,0.08738
12.97000,0.82232,0.82232
12.99000,0.48578,0.48578
13.01000,-0.02767,-0.02767
13.03000,0.17104,0.17104
13.05000,-0.41136,-0.41136
13.07000,0.24777,0.24777
13.09000,0.02067,0.02067
13.11000,-0.62953,-0.62953
13.13000,-0.04366,-0.04366
13.15000,0.75163,0.75163
13.17000,-0.52953,-0.52953
13.19000,-0.26245,-0.26245
